1	7.093487763179431e-13
4	4.36868927748957e-12
7	3.4653965787314636e-11
10	6.613793394331101e-11
13	1.2328227110793217e-10
16	1.78607868179828e-10
19	2.4943413330229115e-10
22	3.636524612442653e-10
25	4.0628914658348417e-10
28	4.276635676947312e-10
31	5.793796370432269e-10
34	6.788215272139996e-10
37	7.699618664041708e-10
40	9.266103183836151e-10
43	8.134420622982691e-10
46	2.9890532360678007e-10
49	1.541299808917226e-10
52	7.008283375480029e-11
55	3.450374878040129e-11
58	6.432657295337235e-12
61	1.555118722308016e-14
64	1.974383744279564e-15
67	3.512154349486497e-16
70	1.1416524855740368e-16
