0.1	1.2976049009987552e-13	1.4750049773074087e-08
0.2	2.4959306201968552e-12	6.034104816439451e-08
0.4	4.493887932018854e-11	2.436884573128634e-07
0.6	2.1590795763610611e-10	5.408671163787835e-07
0.8	7.966297678638508e-10	9.66785485390954e-07
1.0	1.4873542893038373e-09	1.4921817777830675e-06
1.3	4.677467188993341e-09	2.5654126578476167e-06
1.6	1.0215094867894771e-08	3.8079601526517814e-06
2.0	2.532741630902065e-08	5.9989064232054084e-06
3.0	1.5001083817821526e-07	1.3428811939507332e-05
5.0	8.60645119954886e-07	3.683465338176111e-05
7.0	3.800220612600472e-06	7.262697665467271e-05
10.0	1.665211696118241e-05	0.00014968978963532568
15.0	8.385701696624573e-05	0.00033953750711117727
20.0	0.00024613545385481856	0.0006014331509382699
